,frn,provider_id,brand_name,location_id,technology,max_advertised_download_speed,max_advertised_upload_speed,low_latency,business_residential_code,state_usps,block_geoid,h3_res8_id,FIPS5
262387,5043195,130892,NetCarrier Telecom Inc,1310839261,50,1000000,1000000,1,B,DE,100010413002048.0,882aad5503fffff,10001.0
262380,5043195,130892,NetCarrier Telecom Inc,1062764109,50,100000,100000,1,B,DE,100030140001003.0,882aac3309fffff,10003.0
261980,3768165,130317,Xfinity,1354263560,50,2000,2000,1,B,DE,100050510161002.0,882aad3881fffff,10005.0
3668931,19066034,200014,Cogent Communication,1357082167,50,400000,400000,1,B,DC,110010107001016.0,882aa845adfffff,11001.0
265981,7472319,300150,Stratus Networks Inc,1296993591,50,10000,10000,1,B,IL,170070102001016.0,8827594517fffff,17007.0
267723,7472319,300150,Stratus Networks Inc,1138809949,50,10000,10000,1,B,IL,170119652003036.0,8826664707fffff,17011.0
428135,16555849,130982,ZAYO GROUP LLC,1326509475,50,1200000,1200000,1,B,IL,170317705002045.0,8827593425fffff,17031.0
263510,24170359,131081,Metronet Holdings,1383374273,50,10000,10000,1,B,IL,170370007001008.0,88275961d3fffff,17037.0
434895,16555849,130982,ZAYO GROUP LLC,1335970298,50,150000,150000,1,B,IL,170438446022004.0,88275926adfffff,17043.0
321688,3768165,130317,Xfinity,1088147431,50,1000,1000,1,B,IL,170630001023097.0,882666ba51fffff,17063.0
263817,24170359,131081,Metronet Holdings,1065541348,50,10000,10000,1,B,IL,170730302031018.0,882675d535fffff,17073.0
263524,7472319,300150,Stratus Networks Inc,1016674976,50,10000,10000,1,B,IL,170850205001046.0,88275bc523fffff,17085.0
360763,16555849,130982,ZAYO GROUP LLC,1348519425,50,550000,550000,1,B,IL,170898506003035.0,8827593915fffff,17089.0
290509,25942202,370068,Conxxus,1055609190,50,8000,8000,1,B,IL,170910126004065.0,882660d0a3fffff,17091.0
262722,24170359,131081,Metronet Holdings,1024753525,50,10000,10000,1,B,IL,170938904031050.0,8826668205fffff,17093.0
262925,24170359,131081,Metronet Holdings,1336782366,50,10000,10000,1,B,IL,170978641101006.0,88275914d1fffff,17097.0
262411,7472319,300150,Stratus Networks Inc,1067990035,50,10000,10000,1,B,IL,170999641001049.0,882666732bfffff,17099.0
262425,7472319,300150,Stratus Networks Inc,1090404524,50,10000,10000,1,B,IL,171030005003029.0,88275b30e3fffff,17103.0
269005,7472319,300150,Stratus Networks Inc,1140413493,50,10000,10000,1,B,IL,171059608002031.0,8826662897fffff,17105.0
287051,29626009,130258,Frontier,1355220161,50,7000,7000,1,B,IL,171118704032039.0,8827590311fffff,17111.0
262493,7472319,300150,Stratus Networks Inc,1090553858,50,10000,10000,1,B,IL,171130018002026.0,88266212d3fffff,17113.0
266740,7472319,300150,Stratus Networks Inc,1056682347,50,10000,10000,1,B,IL,171239611001026.0,8826666223fffff,17123.0
262424,7472319,300150,Stratus Networks Inc,1084688069,50,10000,10000,1,B,IL,171419607003059.0,88275bb991fffff,17141.0
262865,24170359,131081,Metronet Holdings,1314455394,50,10000,10000,1,B,IL,171610209001011.0,882675c313fffff,17161.0
263545,7472319,300150,Stratus Networks Inc,1073744284,50,10000,10000,1,B,IL,171770004002043.0,88275bc681fffff,17177.0
262528,7472319,300150,Stratus Networks Inc,1313758342,50,10000,10000,1,B,IL,171790211023009.0,8826625001fffff,17179.0
263539,7472319,300150,Stratus Networks Inc,1054163083,50,10000,10000,1,B,IL,171950008002079.0,88275b2d69fffff,17195.0
262635,24170359,131081,Metronet Holdings,1015511494,50,10000,10000,1,B,IL,171978804231047.0,88266694b7fffff,17197.0
262839,24170359,131081,Metronet Holdings,1302342160,50,10000,10000,1,B,IL,172010038062019.0,8827594115fffff,17201.0
262422,7472319,300150,Stratus Networks Inc,1079063974,50,10000,10000,1,B,IL,172030305023018.0,882662d8a7fffff,17203.0
