County Name,County FIPS Code,State Name,Water Stress Level
Loudoun,51107,Virginia,1
Prince William,51153,Virginia,4
Indiana,42063,Pennsylvania,2
Licking,39089,Ohio,2
Spotsylvania,51177,Virginia,3
Frederick,51069,Virginia,3
Frederick,24021,Maryland,4
Mecklenburg,51117,Virginia,3
York,42133,Pennsylvania,1
Luzerne,42079,Pennsylvania,1
Benton,18007,Indiana,4
King George,51099,Virginia,4
Virginia Beach,51810,Virginia,2
Stafford,51179,Virginia,4
Randolph,18135,Indiana,3
Sussex,51183,Virginia,4
White,18181,Indiana,1
Jay,18075,Indiana,3
Charles City,51036,Virginia,4
Cook,17031,Illinois,4
Highland,39071,Ohio,3
Will,17197,Illinois,4
Union,39159,Ohio,3
Paulding,39125,Ohio,1
Hanover,51085,Virginia,2
Kendall,17093,Illinois,4
St Joseph,26149,Michigan,1
Hardin,39065,Ohio,1
Whitley,18183,Indiana,3
Tucker,54093,West Virginia,3
Appomattox,51011,Virginia,4
Currituck,37053,North Carolina,3
Louisa,51109,Virginia,2
Powhatan,51145,Virginia,3
Fulton,42057,Pennsylvania,3
Bracken,21023,Kentucky,1
Camden,37029,North Carolina,3
Clarke,51043,Virginia,3
Gallia,39053,Ohio,3
Putnam,39137,Ohio,1
Ross,39141,Ohio,3
Mineral,54057,West Virginia,3
Perquimans,37143,North Carolina,3
Gates,37073,North Carolina,3
Prince Edward,51147,Virginia,4
Madison,39097,Ohio,3
Grant,21081,Kentucky,3
Wyandot,39175,Ohio,1
Potter,42105,Pennsylvania,2
Perry,39127,Ohio,1
Garrett,24023,Maryland,3
Patrick,51141,Virginia,3
Campbell,51031,Virginia,3
Fayette,54019,West Virginia,1
Northampton,37131,North Carolina,4
Grayson,51077,Virginia,2
Logan,39091,Ohio,3
Jefferson,54037,West Virginia,3
Grant,18053,Indiana,3
Nicholas,54067,West Virginia,1
Pendleton,21191,Kentucky,1
Mercer,39107,Ohio,3
King William,51101,Virginia,2
Wetzel,54103,West Virginia,1
Page,51139,Virginia,3
New Kent,51127,Virginia,4
Wythe,51197,Virginia,2
Taylor,21217,Kentucky,3
Hopewell City,51670,Virginia,4
Pulaski,51155,Virginia,2
Queen Annes,24035,Maryland,3
Brown,39015,Ohio,1
Juniata,42067,Pennsylvania,3
Carroll,51035,Virginia,2
Goochland,51075,Virginia,3
King and Queen,51097,Virginia,3
Kent,24029,Maryland,3
Charlotte,51037,Virginia,3
Mercer,21167,Kentucky,1
Estill,21065,Kentucky,3
Essex,51057,Virginia,3
Washington,24043,Maryland,3
Elkhart,18039,Indiana,1
Barbour,54001,West Virginia,3
