Zone_21,GenCapacity_ELCC,GridHeadroom,CleanEnergyRatio
AE,4670.575,2134.575,0.7198132992190468
AEP,13158.266,-14371.734,0.2596617213848694
APS,4343.508000000001,-4603.491999999999,0.13241739165669775
ATSI,5822.339,-7028.661,0.1682404614365464
BGE,531.832,-5880.168,0.40537613381669396
COMED,19811.727,-1895.273000000001,0.5923137846589548
DAY,1159.807,-2434.193,0.10707643599322993
DEOK,1295.1860000000001,-4036.814,0.02624333493413301
DLCO,2620.0409999999997,-34.95900000000029,0.6654170679008459
DOM,16282.322,-12413.678,0.3161042386951935
DPL,3054.4610000000002,-916.5389999999998,0.01897225075062343
EKPC,909.3050000000001,-1217.695,0.07601959738481587
JCPL,1191.227,-4805.773,0.037994437668051516
METED,7171.375,4149.375,0.3451735545833261
OVEC,0.0,-80.0,
PECO,4963.073,-3754.9269999999997,0.4354523900817094
PENLC,2665.771,-115.22899999999981,0.16186686703396505
PEPCO,3707.064,-2272.936,0.4489342509328137
PL,7215.091,-1417.9089999999997,0.3840302222106415
PS,5144.703,-5139.297,0.00830252008716538
RECO,7.842,-389.158,0.4788319306299413
